list_issues,list_artid,img_url
MMKB08:000089140:mpeg21,MMKB08:000089140:mpeg21:a0016,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089140:mpeg21:p004:image&x=1914&y=3865&w=868&h=1178
MMDA03:000093930:mpeg21,MMDA03:000093930:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093930:mpeg21:p004:image&x=1186&y=150&w=1932&h=1471
ddd:010996177:mpeg21,ddd:010996177:mpeg21:a0017,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996177:mpeg21:p002:image&x=3143&y=1657&w=949&h=4220
ddd:010495803:mpeg21,ddd:010495803:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495803:mpeg21:p001:image&x=335&y=3340&w=530&h=52
ddd:010097939:mpeg21,ddd:010097939:mpeg21:a0037,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097939:mpeg21:p003:image&x=2070&y=5849&w=926&h=97
ddd:011194083:mpeg21,ddd:011194083:mpeg21:a0005,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011194083:mpeg21:p004:image&x=1246&y=2740&w=889&h=1717
ddd:011211100:mpeg21,ddd:011211100:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011211100:mpeg21:p004:image&x=948&y=3107&w=836&h=1911
ddd:010156425:mpeg21,ddd:010156425:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010156425:mpeg21:p004:image&x=262&y=2973&w=441&h=52
MMHCO01:000065489:mpeg21,MMHCO01:000065489:mpeg21:a0022,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065489:mpeg21:p004:image&x=156&y=4302&w=1046&h=659
MMKB08:000089141:mpeg21,MMKB08:000089141:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089141:mpeg21:p003:image&x=932&y=5105&w=879&h=314
MMKB08:000114963:mpeg21,MMKB08:000114963:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000114963:mpeg21:p003:image&x=2092&y=3310&w=1012&h=1442
MMDA03:000093931:mpeg21,MMDA03:000093931:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093931:mpeg21:p003:image&x=1076&y=2824&w=989&h=2276
ddd:010507595:mpeg21,ddd:010507595:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010507595:mpeg21:p002:image&x=1937&y=66&w=889&h=631
