res,occ
ƒ,handelsagent
100,burgerdienstbode
no wage indication,dienstbode
no wage indication,dienstbode
no wage indication,werkmeid
200,heer
100,meid
100,dienstbode
ƒ9o,uitgever
ƒ9o,dienstbode
no wage indication,dienstbode
no wage indication,schoonmaakster
no wage indication,juffrouw
qualitative,boekhandelaar
qualitative,dienstbode
ƒ150,juffrouw
ƒ150,dienstbode
ƒ150,meid
no wage indication,keukenmeid
38427,meid
38427,studenten
38427,keukenmeid
qualitative,boekhandelaar
qualitative,boekhandelaar
no wage indication,groothandelaar
no wage indication,knecht
qualitative,keukenmeid
no wage indication,dienßt
38427,keukenmeid
38427,officier
qualitative,dienstbode
negentig,dienst
negentig,huiswerk
no wage indication,keukenmeid
100,meid
f,boekhandelaar
ƒbo,kinderjuffrouw
ƒbo,kinderjuffrouw
qualitative,dienstbode
125,dienstbode
no wage indication,schoonmaakster
100,bode
100,huiswerk
100,mecanicien
100,burgerdienstbode
100,huiswerk
no wage indication,dienst
25,banketbakkers
25,bediende
no wage indication,makelaars
no wage indication,handelaar
no wage indication,dienst
no wage indication,advocaat
no wage indication,boekhandelaar
no wage indication,loopjongen
qualitative,keukenmeid
no wage indication,dienst
qualitative,dienst
ƒ250,jongen
no wage indication,dienst
no wage indication,werkmeid
120,dienst
qualitative,compagnon
qualitative,dienstbode
no wage indication,dienst
no wage indication,werkmeid
100,dienst
100,meid
no wage indication,bazaar
110,dienst
no wage indication,uitgever
ƒloo,bulp
ƒloo,administratieve
no wage indication,boekhandelaar
qualitative,dienstbode
qualitative,kamenier
100,makelaars
100,noodhulp
100,werkmeid
no wage indication,heer
no wage indication,advocaat
no wage indication,procureur
no wage indication,curator
no wage indication,ober
no wage indication,deurwaarder
no wage indication,heer
no wage indication,procureur
no wage indication,broeder
no wage indication,deurwaarder
no wage indication,procureur
no wage indication,secretaris
no wage indication,dienst
20,bediende
20,bediende
20,bediende
no wage indication,bankiers
no wage indication,kassiers
no wage indication,makelaars
no wage indication,portier
90,schoonmaakster
100,huiswerk
100,boekhandelaar
100,werkmeid
100,boekhandelaar
ƒim,boekhandelaar
ƒim,uitgever
ƒim,meid
ƒim,boekhandelaar
qualitative,huiswerk
qualitative,huiswerk
no wage indication,keukenmeid
ƒloo,dienstbode
no wage indication,verkoopster
dertig,hooger
no wage indication,leiden
100,huiswerk
100,getnigen
100,keukenmeid
100,huiswerk
48418,voorzitter
48418,griffier
no wage indication,leiden
no wage indication,keukenmeid
48418,voorzitter
48418,griffier
48418,makelaars
no wage indication,juffrouw
48418,voorzitter
48418,griffier
458,coiffeur
458,kappersbediende
qualitative,dienst
qualitative,meid
90,leiden
100,meid
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,agent
no wage indication,keukenmeid
no wage indication,keukenmeid
f,dienstbode
f,dieast
qualitative,boekhandelaar
qualitative,huiswerk
qualitative,dienst
qualitative,commissionnair
qualitative,huisknecht
qualitative,militair
qualitative,boekhandelaar
qualitative,dienstbode
qualitative,dienstbode
100,huiswerk
100,werkmeid
no wage indication,minister
qualitative,makelaar
qualitative,dienstmeid
qualitative,secondant
qualitative,boekhandelaar
no wage indication,huiswerk
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,kamer
qualitative,dienstbode
no wage indication,keukenmeid
90,burgerdienstbode
120,advocaat
120,dienst
ƒ,boekhandelaar
no wage indication,meid
qualitative,dienst
100,meid
qualitative,boekhandelaar
qualitative,meid
qualitative,boekhandelaar
qualitative,keukenmeid
120,kantoorboekhandelaar
qualitative,werkmeid
qualitative,makelaar
90,dienstbode
90,huiswerk
90,dienstbode
90,meid
no wage indication,juffrouw
120,gids
120,huiswerk
no wage indication,koster
no wage indication,huiswerk
no wage indication,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
no wage indication,gemeente
no wage indication,huiswerk
80,huiswerk
90,dienstbode
90,dienstbode
90,schoonmaakster
80,huiswerk
no wage indication,meesterknecht
no wage indication,meesterknecht
ƒ,advokaat
no wage indication,makelaars
no wage indication,knecht
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
80,dienstbode
qualitative,knecht
qualitative,knecht
100,werkmeid
qualitative,min
no wage indication,boekhouder
qualitative,behangersnaaister
no wage indication,dienst
no wage indication,keukenmeid
no wage indication,keukenmeid
qualitative,keukenmeid
150250,kelder
ƒl5o,dienstbode
ƒloo,meid
ƒloo,kunsthandelaar
qualitative,kelder
qualitative,zolder
qualitative,boekhandelaar
qualitative,dagmeid
ƒloo,meid
ƒloo,keukenmeid
qualitative,leerling
ƒloo,meid
qualitative,keukenmeid
no wage indication,meter
84,dienst
no wage indication,dienstte
no wage indication,bediende
f,advocaat
f,procureur
120,keukenmeid
120,huiswerk
90,boekhandelaar
90,dienstbode
no wage indication,boekhouden
no wage indication,sleepen
no wage indication,boekhandelaar
qualitative,dienstbode
qualitative,kruideniers
qualitative,adsistent
qualitative,boekhandelaar
no wage indication,leiden
qualitative,private
qualitative,huiswerk
no wage indication,boekdrukker
no wage indication,dienst
no wage indication,dienstbode
100,dienstbode
no wage indication,predikant
100,dienstbode
no wage indication,leiden
no wage indication,kruideniers
qualitative,keukenmeid
qualitative,huiswerk
f,boekhandelaar
f,boekhandelaar
f,boekhandelaar
100,boekhandelaar
200,makelaars
200,dienst
200,makelaars
no wage indication,keukenmeid
100,keukenmeid
100,huiswerk
120,keukenmeid
120,huiswerk
no wage indication,hoofd
ƒ9o,dienstbode
ƒ9o,werkmeid
no wage indication,kamer
no wage indication,huishoudster
qualitative,administratie
qualitative,dienstbode
qualitative,meid
90,werkster
no wage indication,huishoudster
7,dienst
qualitative,huisbewaarders
no wage indication,dienstmeisje
no wage indication,heer
qualitative,dienstbode
ƒ6,administratie
ƒ6,opzichter
ƒ6,zolder
130,dienstbode
ƒ6,zolder
qualitative,werkmeid
qualitative,huiswerk
qualitative,knecht
no wage indication,leiden
no wage indication,dienstbode
90,schoonmaakster
ƒbo,klerk
ƒbo,dienstbode
qualitative,dienstbode
qualitative,meesterknecht
qualitative,winkelbediende
qualitative,keukenmeid
no wage indication,advocaat
no wage indication,klerk
qualitative,boekhandelaar
qualitative,keukenmeid
no wage indication,dienstbode
ƒloo,dagmeisje
100,kunsthandelaar
no wage indication,grossier
no wage indication,bediende
no wage indication,bediende
ƒ,meid
ƒ,huiswerk
qualitative,volontair
qualitative,loopjongen
qualitative,boekhandelaar
qualitative,dienstbode
qualitative,boekhandelaar
qualitative,dienst
no wage indication,grossier
no wage indication,heer
no wage indication,gids
qualitative,uitgevers
5,noodhulp
5,dienst
5,noodhulp
5,meid
ƒ,dienstbode
5,meid
qualitative,werkster
qualitative,volontair
100,burgerdienstbode
100,keukenmeid
100,huiswerk
no wage indication,juffrouw
no wage indication,dienst
90,dienstbode
90,schoonmaakster
no wage indication,winkelier
qualitative,keukenmeid
no wage indication,dienst
no wage indication,voorzitter
no wage indication,loten
no wage indication,keukenmeid
no wage indication,meid
ƒ9o,werkmeid
ƒ9o,kindermeisje
ƒ,houtkoper
qualitative,keukenmeid
no wage indication,verloskundige
no wage indication,confectie
qualitative,dienstbode
ƒloo,boekhandelaar
ƒloo,huisbewaarders
ƒloo,hulp
ƒloo,boekhandelaar
qualitative,werksters
no wage indication,waarde
100,koopman
100,timmerman
100,makelaar
100,werkster
100,dienstbode
100,timmerman
qualitative,keukenmeid
qualitative,huiswerk
qualitative,huiswerk
100,koopman
100,werkster
100,dienstbode
